 Timestamp	SBPMU.SLPO_  	SBPMU.STPCLKO_  	SBPMU.CPUSTPO_  	SBPMU.NAP  	SBPMU.THRMTRIPI_  	SBPMU.THRM_ZI  	SBPMU.CPU2SB_PBEB  	vkActCVID_N[7:0]  	vkActRatio_N[7:0]  	Sample   
      0 ps	0            	0               	0               	1          	1                 	1              	1                  	8C                	40                 	        0
<73 750 us	0            	0               	1               	1          	1                 	1              	1                  	8C                	40                 	        1
<70 000 us	1            	0               	1               	1          	1                 	1              	1                  	8C                	40                 	        2
722.500 ns	1            	1               	1               	1          	1                 	1              	1                  	8C                	40                 	        3
<73 750 us	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	        4
<05 000 us	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	        5
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	        6
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	        7
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	        8
  6.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	        9
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       10
 22.500 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       11
120.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       12
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       13
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       14
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       15
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       16
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       17
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       18
 88.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       19
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       20
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       21
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       22
  6.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       23
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       24
 22.500 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       25
120.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       26
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       27
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       28
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       29
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       30
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       31
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       32
 88.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       33
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       34
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       35
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       36
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       37
120.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       38
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       39
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       40
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       41
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       42
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       43
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       44
 88.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       45
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       46
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       47
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       48
  7.500 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       49
 22.500 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       50
120.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       51
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       52
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       53
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       54
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       55
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       56
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       57
 88.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       58
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       59
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       60
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       61
  6.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       62
 23.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       63
120.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       64
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       65
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       66
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       67
 13.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       68
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       69
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       70
 88.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       71
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       72
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       73
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       74
